"ID","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulphur dioxide","total sulphur dioxide","density","pH","sulphates","alcohol"
1148,10,0.41,0.45,6.2,0.071,6,14,"Medium",3.21,0.49,11.8
927,9.4,0.24,0.33,2.3,0.061,52,73,"High",3.47,0.9,10.2
1131,9.1,0.6,0,1.9,0.058,5,10,"High",3.18,0.63,10.4
836,7.6,0.665,0.1,1.5,0.066,27,55,"Medium",3.39,0.51,9.3
615,9.2,0.755,0.18,2.2,0.148,10,103,"Medium",2.87,1.36,10.2
395,12.7,0.6,0.65,2.3,0.063,6,25,"High",3.03,0.57,9.9
598,11.9,0.58,0.58,1.9,0.071,5,18,"High",3.09,0.63,10
378,9.4,0.27,0.53,2.4,0.074,6,18,"Medium",3.2,1.13,12
157,7.1,0.43,0.42,5.5,0.07,29,129,"Medium",3.42,0.72,10.5
1535,6.6,0.56,0.14,2.4,0.064,13,29,"Low",3.42,0.62,11.7
141,8.4,0.745,0.11,1.9,0.09,16,63,"Medium",3.19,0.82,9.6
1518,6.5,0.53,0.06,2,0.063,29,44,"Low",3.38,0.83,10.3
1223,8.1,0.53,0.22,2.2,0.078,33,89,"Medium",3.26,0.46,9.6
1002,9.9,0.35,0.38,1.5,0.058,31,47,"Medium",3.26,0.82,10.6
1206,7.2,0.36,0.46,2.1,0.074,24,44,"Low",3.4,0.85,11
985,12.2,0.45,0.49,1.4,0.075,3,6,"Medium",3.13,0.63,10.4
765,9.1,0.68,0.11,2.8,0.093,11,44,"High",3.31,0.55,9.5
969,9,0.4,0.43,2.4,0.068,29,46,"Low",3.2,0.6,12.2
748,8.6,0.33,0.4,2.6,0.083,16,68,"High",3.3,0.48,9.4
528,7,0.38,0.49,2.5,0.097,33,85,"Medium",3.39,0.77,11.4
307,7.6,0.62,0.32,2.2,0.082,7,54,"Medium",3.36,0.52,9.4
436,12.3,0.39,0.63,2.3,0.091,6,18,"High",3.16,0.49,9.5
215,7.8,0.735,0.08,2.4,0.092,10,41,"Medium",3.24,0.71,9.8
1593,6.3,0.51,0.13,2.3,0.076,29,40,"Low",3.42,0.75,11
1372,7.5,0.58,0.56,3.1,0.153,5,14,"Low",3.21,1.03,11.6
1576,7.5,0.52,0.4,2.2,0.06,12,20,"Low",3.26,0.64,11.8
1356,6.1,0.32,0.25,1.8,0.086,5,32,"Low",3.36,0.44,10.1
1135,8.5,0.28,0.35,1.7,0.061,6,15,"Low",3.3,0.74,11.8
914,9.4,0.395,0.46,4.6,0.094,3,10,"Medium",3.27,0.64,12.2
1118,7,0.69,0.07,2.5,0.091,15,21,"Low",3.38,0.6,11.3
823,6.7,0.54,0.13,2,0.076,15,36,"Medium",3.61,0.64,9.8
602,13.2,0.46,0.52,2.2,0.071,12,35,"High",3.1,0.56,9
382,13.7,0.415,0.68,2.9,0.085,17,43,"High",3.06,0.8,10
586,7.6,0.51,0.24,2.4,0.091,8,38,"High",3.47,0.66,9.6
365,12.8,0.615,0.66,5.8,0.083,7,42,"High",3.07,0.73,10
145,5.2,0.34,0,1.8,0.05,27,63,"Low",3.68,0.79,14
1522,6.9,0.48,0.2,1.9,0.082,9,23,"Low",3.39,0.43,9.05
128,8.1,1.33,0,1.8,0.082,3,12,"Medium",3.54,0.48,10.9
1505,7.5,0.38,0.57,2.3,0.106,5,12,"Medium",3.36,0.55,11.4
1210,6.2,0.39,0.43,2,0.071,14,24,"Low",3.45,0.87,11.2
989,7.7,0.39,0.12,1.7,0.097,19,27,"Low",3.16,0.49,9.4
1193,7.2,0.25,0.37,2.5,0.063,11,41,"Low",3.52,0.8,12.4
973,10.1,0.38,0.5,2.4,0.104,6,13,"Medium",3.22,0.65,11.6
752,8.3,0.65,0.1,2.9,0.089,17,40,"High",3.29,0.55,9.5
531,9.1,0.22,0.24,2.1,0.078,1,28,"High",3.41,0.87,10.3
735,7.7,0.56,0.2,2,0.075,9,39,"High",3.48,0.62,9.3
515,10.5,0.51,0.64,2.4,0.107,6,15,"Medium",3.09,0.66,11.8
294,6.9,0.36,0.25,2.4,0.098,5,16,"Medium",3.41,0.6,10.1
1597,6.3,0.51,0.13,2.3,0.076,29,40,"Low",3.42,0.75,11
203,6.8,0.5,0.11,1.5,0.075,16,49,"Low",3.36,0.79,9.5
1580,6.2,0.56,0.09,1.7,0.053,24,32,"Low",3.54,0.6,11.3
1360,11.6,0.475,0.4,1.4,0.091,6,28,"Medium",3.07,0.65,10.0333333333333
1139,7.5,0.41,0.15,3.7,0.104,29,94,"High",3.14,0.58,9.1
1343,7.6,0.54,0.02,1.7,0.085,17,31,"Low",3.37,0.51,10.4
1122,6.6,0.5,0,1.8,0.062,21,28,"Low",3.44,0.55,12.3
902,7.4,0.635,0.1,2.4,0.08,16,33,"Medium",3.58,0.69,10.8
1106,6.3,0.57,0.28,2.1,0.048,13,49,"Low",3.41,0.6,12.8
810,7.6,0.48,0.31,2.8,0.07,4,15,"Medium",3.22,0.55,10.3
590,10.2,0.29,0.49,2.6,0.059,5,13,"High",3.05,0.74,10.5
369,10.3,0.34,0.52,2.8,0.159,15,75,"High",3.18,0.64,9.4
573,10.2,0.24,0.49,2.4,0.075,10,28,"High",3.14,0.61,10.4
352,9.1,0.795,0,2.6,0.096,11,26,"High",3.35,0.83,9.4
132,5.6,0.5,0.09,2.3,0.049,17,99,"Low",3.63,0.63,13
1509,7.1,0.27,0.6,2.1,0.074,17,25,"High",3.38,0.72,10.6
115,7.8,0.56,0.19,1.8,0.104,12,47,"Medium",3.19,0.93,9.5
1493,6.2,0.65,0.06,1.6,0.05,6,18,"Low",3.57,0.54,11.95
1197,7.9,0.58,0.23,2.3,0.076,23,94,"Medium",3.21,0.58,9.5
977,7.2,0.41,0.3,2.1,0.083,35,72,"Medium",3.44,0.52,9.4
1180,8.2,0.35,0.33,2.4,0.076,11,47,"Low",3.27,0.81,11
960,8,0.59,0.05,2,0.089,12,32,"Medium",3.36,0.61,10
739,9,0.46,0.23,2.8,0.092,28,104,"High",3.1,0.56,9.2
519,10.9,0.21,0.49,2.8,0.088,11,32,"Medium",3.22,0.68,11.7
723,7.6,0.42,0.08,2.7,0.084,15,48,"Medium",3.21,0.59,10
502,10.4,0.44,0.73,6.55,0.074,38,76,"High",3.17,0.85,12
281,11.4,0.26,0.44,3.6,0.071,6,19,"High",3.12,0.82,9.3
1584,6.2,0.46,0.29,2.1,0.074,32,98,"Low",3.33,0.62,9.8
190,7.9,0.49,0.32,1.9,0.082,17,144,"Medium",3.2,0.55,9.5
1567,6.7,0.16,0.64,2.1,0.059,24,52,"Low",3.34,0.71,11.2
1347,6.1,0.59,0.01,2.1,0.056,5,13,"Low",3.52,0.56,11.4
1126,8.8,0.24,0.35,1.7,0.055,13,27,"Low",3.14,0.59,11.3
1330,7.4,0.6,0.26,2.1,0.083,17,91,"Medium",3.29,0.56,9.8
1109,8.1,0.78,0.1,3.3,0.09,4,13,"High",3.36,0.49,9.5
889,6.8,0.57,0,2.5,0.072,32,64,"Low",3.43,0.56,11.2
668,11.3,0.34,0.45,2,0.082,6,15,"High",2.94,0.66,9.2
797,8.7,0.46,0.31,2.5,0.126,24,64,"Medium",3.1,0.74,9.6
577,9.9,0.5,0.24,2.3,0.103,6,14,"High",3.34,0.52,10
356,6.7,0.75,0.01,2.4,0.078,17,32,"Low",3.55,0.61,12.8
136,8.4,0.745,0.11,1.9,0.09,16,63,"Medium",3.19,0.82,9.6
340,12.5,0.28,0.54,2.3,0.082,12,29,"High",3.11,1.36,9.8
119,8.8,0.55,0.04,2.2,0.119,14,56,"Medium",3.21,0.6,10.9
1496,7,0.43,0.02,1.9,0.08,15,28,"Low",3.35,0.81,10.6
1276,8,0.715,0.22,2.3,0.075,13,81,"Medium",3.24,0.54,9.5
1480,8.2,0.28,0.6,3,0.104,10,22,"High",3.39,0.68,10.6
1184,6.8,0.66,0.07,1.6,0.07,16,61,"Low",3.29,0.6,9.3
964,8.8,0.27,0.39,2,0.1,20,27,"Low",3.15,0.69,11.2
743,6.5,0.615,0,1.9,0.065,9,18,"Medium",3.46,0.65,9.2
947,10.2,0.44,0.58,4.1,0.092,11,24,"Medium",3.29,0.99,12
726,9,0.66,0.17,3,0.077,5,13,"High",3.29,0.55,10.4
506,10.2,0.49,0.63,2.9,0.072,10,26,"Medium",3.16,0.78,12.5
710,9.7,0.31,0.47,1.6,0.062,13,33,"High",3.27,0.66,10
489,11.6,0.32,0.55,2.8,0.081,35,67,"High",3.32,0.92,10.8
269,6.9,0.54,0.04,3,0.077,7,27,"High",3.69,0.91,9.4
1571,6.4,0.36,0.53,2.2,0.23,19,35,"Low",3.37,0.93,12.4
177,7.3,0.38,0.21,2,0.08,7,35,"Medium",3.33,0.47,9.5
1555,6.6,0.855,0.02,2.4,0.062,15,23,"Medium",3.54,0.6,11
1334,9.1,0.775,0.22,2.2,0.079,12,48,"High",3.18,0.51,9.6
1113,7.9,0.33,0.41,1.5,0.056,6,35,"Low",3.29,0.71,11
1317,5.4,0.74,0,1.2,0.041,16,46,"Low",4.01,0.59,12.5
1097,6.6,0.725,0.09,5.5,0.117,9,17,"Medium",3.35,0.49,10.8
876,8.8,0.31,0.4,2.8,0.109,7,16,"Medium",3.31,0.79,11.8
656,9.7,0.55,0.17,2.9,0.087,20,53,"High",3.14,0.61,9.4
785,7.1,0.59,0.01,2.5,0.077,20,85,"Medium",3.55,0.59,9.8
564,7.6,0.29,0.49,2.7,0.092,25,60,"Medium",3.31,0.61,10.1
343,10.9,0.39,0.47,1.8,0.118,6,14,"High",3.3,0.75,9.8
123,7.3,0.695,0,2.5,0.075,3,13,"High",3.49,0.52,9.2
327,11.6,0.53,0.66,3.65,0.121,6,14,"High",3.05,0.74,11.5
106,8.1,0.575,0.22,2.1,0.077,12,65,"Medium",3.29,0.51,9.2
1484,8.1,0.33,0.44,1.5,0.042,6,12,"Low",3.35,0.61,10.7
1263,9.8,0.45,0.38,2.5,0.081,34,66,"Medium",3.15,0.58,9.8
1467,7.3,0.48,0.32,2.1,0.062,31,54,"Medium",3.3,0.65,10
1172,7.1,0.59,0,2.2,0.078,26,44,"Low",3.42,0.68,10.8
951,8.9,0.12,0.45,1.8,0.075,10,21,"Low",3.41,0.76,11.9
730,6.4,0.865,0.03,3.2,0.071,27,58,"Low",3.61,0.49,12.7
934,7.4,0.61,0.01,2,0.074,13,38,"Medium",3.48,0.65,9.8
714,8,0.43,0.36,2.3,0.075,10,48,"High",3.34,0.46,9.4
493,8.9,0.4,0.51,2.6,0.052,13,27,"Low",3.32,0.9,13.4
273,10.9,0.37,0.58,4,0.071,17,65,"High",3.22,0.78,10.1
476,9.6,0.68,0.24,2.2,0.087,5,28,"High",3.14,0.6,10.2
256,8,0.57,0.23,3.2,0.073,17,119,"Medium",3.26,0.57,9.3
1558,6.6,0.855,0.02,2.4,0.062,15,23,"Medium",3.54,0.6,11
1338,6,0.5,0,1.4,0.057,15,26,"Low",3.36,0.45,9.5
1542,7.4,0.25,0.29,2.2,0.054,19,49,"Medium",3.4,0.76,10.9
1321,9.7,0.66,0.34,2.6,0.094,12,88,"High",3.26,0.66,10.1
1101,8.4,0.34,0.42,2.1,0.072,23,36,"Low",3.11,0.78,12.4
880,7.2,0.6,0.04,2.5,0.076,18,88,"Medium",3.53,0.55,9.5
1084,8.7,0.42,0.45,2.4,0.072,32,59,"Medium",3.33,0.77,12
863,7.5,0.42,0.32,2.7,0.067,7,25,"Medium",3.24,0.44,10.4
643,9.9,0.54,0.45,2.3,0.071,16,40,"High",3.39,0.62,9.4
772,9.4,0.685,0.26,2.4,0.082,23,143,"High",3.28,0.55,9.4
551,6.8,0.51,0.01,2.1,0.074,9,25,"Low",3.33,0.56,9.5
331,10.2,0.36,0.64,2.9,0.122,10,41,"High",3.23,0.66,12.5
110,8.1,0.785,0.52,2,0.122,37,153,"Medium",3.21,0.69,9.3
314,8.6,0.47,0.3,3,0.076,30,135,"High",3.3,0.53,9.4
93,8.6,0.49,0.29,2,0.11,19,133,"Medium",2.93,1.98,9.8
1471,10,0.69,0.11,1.4,0.084,8,24,"Low",2.88,0.47,9.7
1250,7.1,0.6,0.01,2.3,0.079,24,37,"Low",3.4,0.61,10.9
1454,7.6,0.49,0.33,1.9,0.074,27,85,"Medium",3.41,0.58,9
1159,6.7,0.41,0.43,2.8,0.076,22,54,"Low",3.42,1.16,10.6
938,12,0.63,0.5,1.4,0.071,6,26,"High",3.07,0.6,10.4
718,7.6,0.46,0.11,2.6,0.079,12,49,"Medium",3.21,0.57,10
921,9.6,0.41,0.37,2.3,0.091,10,23,"High",3.24,0.56,10.5
701,10.6,1.02,0.43,2.9,0.076,26,88,"High",3.08,0.57,10.1
480,9.4,0.685,0.11,2.7,0.077,6,31,"High",3.19,0.7,10.1
260,10,0.31,0.47,2.6,0.085,14,33,"High",3.36,0.8,10.5
464,8.1,0.66,0.7,2.2,0.098,25,129,"Medium",3.08,0.53,9
243,7.7,0.58,0.1,1.8,0.102,28,109,"Low",3.08,0.49,9.8
1546,6.5,0.63,0.33,1.8,0.059,16,28,"Low",3.36,0.64,10.1
1325,6.7,0.46,0.24,1.7,0.077,18,34,"Low",3.39,0.6,10.6
1529,7.9,0.29,0.49,2.2,0.096,21,59,"Medium",3.31,0.67,10.1
1308,6.8,0.68,0.09,3.9,0.068,15,29,"Low",3.41,0.52,11.1
1088,7.9,0.19,0.42,1.6,0.057,18,30,"Low",3.29,0.69,11.2
867,6.8,0.49,0.22,2.3,0.071,13,24,"Low",3.41,0.83,11.3
1071,9.3,0.33,0.45,1.5,0.057,19,37,"Low",3.18,0.89,11.1
851,9.3,0.43,0.44,1.9,0.085,9,22,"Medium",3.28,0.55,9.5
630,7.6,0.685,0.23,2.3,0.111,20,84,"Medium",3.21,0.61,9.3
335,7.9,0.65,0.01,2.5,0.078,17,38,"Medium",3.34,0.74,11.7
538,8.1,0.825,0.24,2.1,0.084,5,13,"Medium",3.37,0.77,10.7
318,9.6,0.77,0.12,2.9,0.082,30,74,"High",3.3,0.64,10.4
97,6.8,0.775,0,3,0.102,8,23,"Medium",3.45,0.56,10.7
1475,9.9,0.5,0.5,13.8,0.205,48,82,"High",3.16,0.75,8.8
81,6.2,0.45,0.2,1.6,0.069,3,15,"Low",3.41,0.56,9.2
1458,7.6,0.49,0.33,1.9,0.074,27,85,"Medium",3.41,0.58,9
1238,7.1,0.75,0.01,2.2,0.059,11,18,"Low",3.39,0.4,12.8
1017,8.9,0.38,0.4,2.2,0.068,12,28,"Low",3.27,0.75,12.6
1146,8.2,0.2,0.43,2.5,0.076,31,51,"Medium",3.53,0.81,10.4
925,8.6,0.47,0.27,2.3,0.055,14,28,"Low",3.18,0.8,11.2
705,9.1,0.765,0.04,1.6,0.078,4,14,"High",3.29,0.54,9.7
484,10.6,0.36,0.6,2.2,0.152,7,18,"High",3.04,1.06,9.4
688,9.1,0.64,0.23,3.1,0.095,13,38,"High",3.28,0.59,9.7
468,8.8,0.46,0.45,2.6,0.065,7,18,"Low",3.32,0.79,14
247,7.1,0.68,0.07,1.9,0.075,16,51,"Medium",3.38,0.52,9.5
451,11.9,0.39,0.69,2.8,0.095,17,35,"High",3.1,0.61,10.8
230,6.9,0.52,0.25,2.6,0.081,10,37,"Medium",3.46,0.5,11
1533,7.2,0.53,0.13,2,0.058,18,22,"Low",3.21,0.68,9.9
1312,6.5,0.51,0.15,3,0.064,12,27,"Low",3.33,0.59,12.8
1516,6.9,0.84,0.21,4.1,0.074,16,65,"High",3.53,0.72,9.25
1296,6.6,0.63,0,4.3,0.093,51,77.5,"Low",3.2,0.45,9.5
1075,7.5,0.77,0.2,8.1,0.098,30,92,"High",3.2,0.58,9.2
855,9.3,0.36,0.39,1.5,0.08,41,55,"Medium",3.47,0.73,10.9
1058,7.6,0.42,0.25,3.9,0.104,28,90,"High",3.15,0.57,9.1
838,6.7,0.28,0.28,2.4,0.012,36,100,"Low",3.26,0.39,11.7
617,9.6,0.6,0.5,2.3,0.079,28,71,"High",3.5,0.57,9.7
1121,7.9,0.54,0.34,2.5,0.076,8,17,"Low",3.2,0.72,13.1
1104,7.4,0.49,0.27,2.1,0.071,14,25,"Low",3.35,0.63,12
884,7.2,0.6,0.04,2.5,0.076,18,88,"Medium",3.53,0.55,9.5
663,7.2,0.57,0.06,1.6,0.076,9,27,"Medium",3.36,0.7,9.6
646,7.8,0.64,0.1,6,0.115,5,11,"High",3.37,0.69,10.1
426,6.6,0.84,0.03,2.3,0.059,32,48,"Low",3.52,0.56,12.3
205,7,0.43,0.36,1.6,0.089,14,37,"Medium",3.34,0.56,9.2
334,8.4,0.56,0.08,2.1,0.105,16,44,"Low",3.13,0.52,11
114,10.1,0.31,0.44,2.3,0.08,22,46,"High",3.32,0.67,9.7
1491,7.1,0.22,0.49,1.8,0.039,8,18,"Low",3.39,0.56,12.4
1271,5,0.38,0.01,1.6,0.048,26,60,"Low",3.7,0.75,14
1474,6.1,0.6,0.08,1.8,0.071,14,45,"Low",3.38,0.54,11
1254,7.9,0.66,0,1.4,0.096,6,13,"Low",3.43,0.58,9.5
1033,8.1,0.82,0,4.1,0.095,5,14,"High",3.36,0.53,9.6
813,10.8,0.45,0.33,2.5,0.099,20,38,"High",3.24,0.71,10.8
721,8.4,0.56,0.04,2,0.082,10,22,"High",3.22,0.44,9.6
501,7.8,0.52,0.25,1.9,0.081,14,38,"High",3.43,0.65,9
280,8.9,0.4,0.32,5.6,0.087,10,47,"High",3.38,0.77,10.5
263,8,0.52,0.03,1.7,0.07,10,35,"Low",3.34,0.57,10
43,7.5,0.49,0.2,2.6,0.332,8,14,"Medium",3.21,0.9,10.5
1420,7.7,0.64,0.21,2.2,0.077,32,133,"Low",3.27,0.45,9.9
26,6.3,0.39,0.16,1.4,0.08,11,23,"Low",3.34,0.56,9.3
1404,7.2,0.33,0.33,1.7,0.061,3,13,"Low",3.23,1.1,10
1108,9.1,0.3,0.41,2,0.068,10,24,"Low",3.27,0.85,11.7
1091,10,0.26,0.54,1.9,0.083,42,74,"Low",2.98,0.63,11.8
871,7.7,0.715,0.01,2.1,0.064,31,43,"Low",3.41,0.57,11.8
650,6.7,0.42,0.27,8.6,0.068,24,148,"Low",3.16,0.57,11.3
854,9.3,0.36,0.39,1.5,0.08,41,55,"Medium",3.47,0.73,10.9
634,10.1,0.935,0.22,3.4,0.105,11,86,"High",3.43,0.64,11.3
413,7.1,0.735,0.16,1.9,0.1,15,77,"Medium",3.27,0.64,9.3
192,6.4,0.37,0.25,1.9,0.074,21,49,"Medium",3.57,0.62,9.8
321,9.8,0.66,0.39,3.2,0.083,21,59,"High",3.37,0.71,11.5
101,8.3,0.61,0.3,2.1,0.084,11,50,"Medium",3.4,0.61,10.2
1258,7,0.58,0.28,4.8,0.085,12,69,"Medium",3.32,0.7,11
1462,6.2,0.785,0,2.1,0.06,6,13,"Medium",3.59,0.61,10
1241,7.5,0.61,0.2,1.7,0.076,36,60,"Low",3.1,0.4,9.3
800,9.4,0.5,0.34,3.6,0.082,5,14,"High",3.29,0.52,10.7
1004,6.8,0.36,0.32,1.8,0.067,4,8,"Low",3.36,0.55,12.8
488,10.2,0.645,0.36,1.8,0.053,5,14,"High",3.17,0.42,10
471,13,0.32,0.65,2.6,0.093,15,47,"High",3.05,0.61,10.6
251,10.8,0.32,0.44,1.6,0.063,16,37,"High",3.22,0.78,10
30,7.8,0.645,0,2,0.082,8,16,"Medium",3.38,0.59,9.8
13,5.6,0.615,0,1.6,0.089,16,59,"Low",3.58,0.52,9.9
1391,6,0.49,0,2.3,0.068,15,33,"Low",3.58,0.59,12.5
